split,policy,pool_idx,sample_id,reward,r_ttc,r_approach,r_risk,criticality,constraint,c_lane,c_trivial,ego_collision,ego_fault_collision,init_invalid,goal_offlane_frac,controlled_parking_frac,ego_min_ttc,ego_adv_min_dist,ego_adv_init_dist,ego_adv_min_dist_warmup,adv_type,adv_x,adv_y,adv_speed,adv_length,adv_width,adv_goal_dist,adv_dist_to_ego,adv_in_fov,adv_small_vehicle
val,base,10734,0,1.0,0.9666666388511658,0.8239421844482422,0.9941313862800598,1.2941313982009888,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.10000000149011612,2.913407802581787,18.399932861328125,2.913407802581787,0,-3.711446762084961,18.034046173095703,0.5366697907447815,4.619663238525391,2.0638725757598877,13.145707130432129,18.399932861328125,True,False
train,base,23203,2,1.0,0.9666666388511658,0.7881925702095032,0.9929397702217102,1.2929397821426392,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.10000000149011612,3.371870517730713,27.19249725341797,3.371870517730713,0,-10.190200805664062,25.245498657226562,1.1038247346878052,0.8505274057388306,0.8627142906188965,23.923582077026367,27.19249725341797,True,True
train,base,37725,0,1.0,0.9666666388511658,0.7762426733970642,0.9925414323806763,1.29254150390625,0.07564470171928406,0.07564470171928406,0.0,1.0,1.0,0.0,0.0,0.0,0.10000000149011612,3.5121803283691406,18.90165138244629,3.5121803283691406,0,-12.90597915649414,13.807594299316406,1.993892788887024,4.572068691253662,2.0602593421936035,11.186860084533691,18.901649475097656,True,False
train,base,24366,1,1.0,0.9666666388511658,0.7742063403129578,0.9924735426902771,1.292473554611206,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.10000000149011612,3.5355663299560547,30.063100814819336,3.5355663299560547,0,-11.558818817138672,27.754798889160156,1.5927232503890991,4.155340671539307,2.0084149837493896,11.376251220703125,30.063100814819336,True,False
train,base,15927,6,1.0,0.9666666388511658,0.7715964317321777,0.992386519908905,1.292386531829834,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.10000000149011612,3.565302610397339,20.61225700378418,3.565302610397339,0,11.013832092285156,17.405319213867188,0.8512084484100342,4.85667610168457,2.128894567489624,15.0508451461792,20.61225700378418,True,False
train,base,17043,4,1.0,0.9666666388511658,0.7712550163269043,0.9923751354217529,1.0571751594543457,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.10000000149011612,3.48154878616333,10.096466064453125,3.48154878616333,0,-0.3346996307373047,10.083740234375,0.3697424829006195,5.277774333953857,2.358916997909546,10.83612060546875,10.096466064453125,True,False
val,base,4609,6,1.0,0.9666666388511658,0.7708003520965576,0.99235999584198,1.2923600673675537,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.10000000149011612,3.5469179153442383,11.313811302185059,3.5469179153442383,0,7.217578887939453,8.638130187988281,0.10901019722223282,4.365158557891846,2.0495338439941406,4.254095077514648,11.313810348510742,True,False
train,base,10613,3,1.0,0.9666666388511658,0.7684634923934937,0.9922820925712585,1.2922821044921875,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.10000000149011612,3.5798721313476562,11.61077880859375,3.5798721313476562,0,-3.575925827026367,-11.034175872802734,9.784675598144531,4.631749153137207,2.1159350872039795,27.223173141479492,11.610777854919434,True,False
val,base,37234,6,1.0,0.9666666388511658,0.7680467367172241,0.9922682046890259,1.2922682762145996,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.10000000149011612,3.60537052154541,33.777347564697266,3.60537052154541,0,-32.0,10.946640014648438,12.077820777893066,0.8652421832084656,0.8601773381233215,62.222999572753906,33.777347564697266,True,True
val,base,965,6,1.0,0.9666666388511658,0.7664848566055298,0.992216169834137,1.292216181755066,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.10000000149011612,3.6228644847869873,29.447683334350586,3.6228644847869873,0,-11.08438491821289,27.281753540039062,0.25468695163726807,4.705489635467529,2.152167320251465,6.101107120513916,29.447683334350586,True,False
val,base,2964,7,1.0,0.9666666388511658,0.7526258826255798,0.9917541742324829,1.2917542457580566,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.10000000149011612,3.769547462463379,13.134808540344238,3.769547462463379,0,-8.542852401733398,10.041732788085938,0.39019742608070374,4.632626056671143,2.1093525886535645,4.999763011932373,13.134808540344238,True,False
val,base,19877,2,1.0,0.9666666388511658,0.7510020732879639,0.9917000532150269,1.2917001247406006,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.10000000149011612,3.7920596599578857,19.196807861328125,3.7920596599578857,0,9.54315185546875,16.615234375,0.9830536246299744,5.719188690185547,2.397202491760254,22.135478973388672,19.196807861328125,True,False
train,base,3444,6,1.0,0.9666666388511658,0.7494038343429565,0.9916467666625977,1.2916467189788818,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.10000000149011612,3.809129476547241,30.872404098510742,3.809129476547241,0,-27.988195419311523,13.15517807006836,8.362854957580566,5.060451507568359,2.1969611644744873,16.04578399658203,30.872404098510742,True,False
val,base,30598,0,1.0,0.9666666388511658,0.7477852702140808,0.9915928244590759,1.2915928363800049,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.10000000149011612,3.8263301849365234,26.159194946289062,3.8263301849365234,0,9.94561767578125,24.158462524414062,1.9790854454040527,5.280092716217041,2.3584561347961426,12.533537864685059,26.159194946289062,True,False
val,base,30598,3,1.0,0.9666666388511658,0.7412846088409424,0.9913761615753174,1.2913761138916016,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.10000000149011612,3.8946874141693115,24.68889808654785,3.8946874141693115,0,15.219841003417969,19.386276245117188,7.495832443237305,7.785046577453613,2.97920298576355,16.754789352416992,24.68889808654785,True,False
train,base,7434,1,1.0,0.9666666388511658,0.7287383675575256,0.9909579157829285,1.2909579277038574,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.10000000149011612,4.023537635803223,32.87253189086914,4.023537635803223,0,-9.235267639160156,31.55571746826172,1.5320521593093872,5.805709362030029,2.457350730895996,27.694421768188477,32.87253189086914,True,False
val,base,12354,4,1.0,0.9666666388511658,0.7282641530036926,0.990942120552063,1.2909421920776367,0.005481261759996414,0.005481261759996414,0.0,1.0,0.0,0.0,0.0,0.0,0.10000000149011612,4.0153117179870605,12.354046821594238,4.0153117179870605,0,7.440700531005859,9.804920196533203,0.42182502150535583,4.633429050445557,2.0800747871398926,15.889572143554688,12.354046821594238,True,False
val,base,30207,4,1.0,0.9666666388511658,0.7245460152626038,0.990818202495575,1.290818214416504,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.10000000149011612,4.065672874450684,17.50387191772461,4.065672874450684,0,-6.0854644775390625,16.407188415527344,0.35890302062034607,4.463845729827881,2.0315349102020264,11.666205406188965,17.50387191772461,True,False
