split,policy,pool_idx,n_samples,reward_mean,reward_max,reward_p50,reward_p90,reward_p95,positive_rate,high_reward_rate,near_miss_rate,collision_rate,init_invalid_rate,goal_offlane_rate,controlled_parking_rate,small_vehicle_rate,ego_adv_min_dist_mean,ego_adv_min_dist_min,r_approach_mean,r_ttc_mean,constraint_mean,adv_length_mean,adv_width_mean
train,base,4,8,0.1346212401986122,0.3570866584777832,0.0894327163696289,0.24834885597229,0.3027177572250365,1.0,0.125,0.125,0.125,0.0,0.125,0.0,0.375,6.222149699926376,2.8157498836517334,0.18834677780978382,0.09166666865348816,0.125,3.9469422698020935,1.7680474147200584
train,base,15,8,0.2396726980805397,0.6426731944084167,0.1236567497253418,0.5349866092205048,0.5888299018144607,1.0,0.375,0.125,0.0,0.0,0.0,0.0,0.25,8.171804070472717,4.072440147399902,0.23967269968086313,0.0,0.0,3.930011697113514,1.8644488528370857
train,base,16,8,-0.5648280084133148,0.38148266077041626,-1.0,0.18423891067504877,0.2828607857227324,0.375,0.125,0.0,0.0,0.625,0.0,0.0,0.0,8.886219561100006,3.60862135887146,0.07032341588637792,0.0,0.0,4.6653494238853455,2.13167405128479
train,base,74,8,-0.42570968717336655,0.23095250129699707,-0.3444446623325348,0.10129253268241879,0.16612251698970784,0.375,0.0,0.125,0.25,0.375,0.125,0.0,0.0,6.368401229381561,2.704371452331543,0.1033854786073789,0.10000000149011612,0.21366889029741287,5.004785239696503,2.218133121728897
train,base,99,8,-0.002908895490691066,0.0016225576400756836,0.00013703107833862305,0.0008254766464233397,0.0012240171432495112,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.446251392364502,13.971893310546875,0.0003488262750180786,0.0,0.0032577242236584425,4.777029037475586,2.161569267511368
train,base,120,8,-0.08427655696868896,0.5339478254318237,2.828240394592285e-05,0.43307898640632625,0.48351340591907493,0.75,0.25,0.125,0.0,0.125,0.0,0.0,0.0,19.167830109596252,6.895890235900879,0.07210113160211051,0.05416666716337204,0.07592643052339554,4.932570993900299,2.2285736203193665
train,base,154,8,0.1449805274605751,0.6037188172340393,0.04444479942321777,0.4192383348941803,0.5114785760641096,1.0,0.25,0.125,0.0,0.0,0.0,0.0,0.0,5.696505308151245,3.498452663421631,0.14498053397983313,0.0,0.0,4.662079453468323,2.118316411972046
train,base,211,8,-0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.0,0.0,0.0,14.940162777900696,6.320596694946289,0.0,0.0,0.0,4.920106887817383,2.2090848982334137
train,base,222,8,0.0633210837841034,0.11747527122497559,0.07269197702407837,0.10707433223724365,0.11227480173110961,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.089693605899811,3.7410476207733154,0.06332107580965385,0.0,0.0,4.766104161739349,2.1473827362060547
train,base,245,8,-0.3161303177475929,0.8412073850631714,-0.4882552921772003,0.6564517378807068,0.7488295614719389,0.5,0.25,0.25,0.0,0.5,0.0,0.0,0.0,7.58091801404953,4.897402286529541,0.10187155148014426,0.11666665971279144,7.228978211060166e-05,4.9791640639305115,2.2063016295433044
