spike_rank,iter,kl,sample,group,pool_slot,dataset_id,initial_pool_dataset_id,log_path
0,99,nan,0,0,23694,295622,295621,<manual>
0,99,nan,1,0,23694,295622,295621,<manual>
0,99,nan,2,0,23694,295622,295621,<manual>
0,99,nan,3,0,23694,295622,295621,<manual>
0,99,nan,4,0,23694,295622,295621,<manual>
0,99,nan,5,0,23694,295622,295621,<manual>
0,99,nan,6,0,23694,295622,295621,<manual>
0,99,nan,7,0,23694,295622,295621,<manual>
0,99,nan,8,1,26060,2129,2129,<manual>
0,99,nan,9,1,26060,2129,2129,<manual>
0,99,nan,10,1,26060,2129,2129,<manual>
0,99,nan,11,1,26060,2129,2129,<manual>
0,99,nan,12,1,26060,2129,2129,<manual>
0,99,nan,13,1,26060,2129,2129,<manual>
0,99,nan,14,1,26060,2129,2129,<manual>
0,99,nan,15,1,26060,2129,2129,<manual>
0,99,nan,16,2,1376,145971,145971,<manual>
0,99,nan,17,2,1376,145971,145971,<manual>
0,99,nan,18,2,1376,145971,145971,<manual>
0,99,nan,19,2,1376,145971,145971,<manual>
0,99,nan,20,2,1376,145971,145971,<manual>
0,99,nan,21,2,1376,145971,145971,<manual>
0,99,nan,22,2,1376,145971,145971,<manual>
0,99,nan,23,2,1376,145971,145971,<manual>
0,99,nan,24,3,19705,96918,96917,<manual>
0,99,nan,25,3,19705,96918,96917,<manual>
0,99,nan,26,3,19705,96918,96917,<manual>
0,99,nan,27,3,19705,96918,96917,<manual>
0,99,nan,28,3,19705,96918,96917,<manual>
0,99,nan,29,3,19705,96918,96917,<manual>
0,99,nan,30,3,19705,96918,96917,<manual>
0,99,nan,31,3,19705,96918,96917,<manual>
0,99,nan,32,4,20881,131823,131822,<manual>
0,99,nan,33,4,20881,131823,131822,<manual>
0,99,nan,34,4,20881,131823,131822,<manual>
0,99,nan,35,4,20881,131823,131822,<manual>
0,99,nan,36,4,20881,131823,131822,<manual>
0,99,nan,37,4,20881,131823,131822,<manual>
0,99,nan,38,4,20881,131823,131822,<manual>
0,99,nan,39,4,20881,131823,131822,<manual>
0,99,nan,40,5,25836,438298,438298,<manual>
0,99,nan,41,5,25836,438298,438298,<manual>
0,99,nan,42,5,25836,438298,438298,<manual>
0,99,nan,43,5,25836,438298,438298,<manual>
0,99,nan,44,5,25836,438298,438298,<manual>
0,99,nan,45,5,25836,438298,438298,<manual>
0,99,nan,46,5,25836,438298,438298,<manual>
0,99,nan,47,5,25836,438298,438298,<manual>
0,99,nan,48,6,7986,108365,108365,<manual>
0,99,nan,49,6,7986,108365,108365,<manual>
0,99,nan,50,6,7986,108365,108365,<manual>
0,99,nan,51,6,7986,108365,108365,<manual>
0,99,nan,52,6,7986,108365,108365,<manual>
0,99,nan,53,6,7986,108365,108365,<manual>
0,99,nan,54,6,7986,108365,108365,<manual>
0,99,nan,55,6,7986,108365,108365,<manual>
0,99,nan,56,7,39480,364521,364521,<manual>
0,99,nan,57,7,39480,364521,364521,<manual>
0,99,nan,58,7,39480,364521,364521,<manual>
0,99,nan,59,7,39480,364521,364521,<manual>
0,99,nan,60,7,39480,364521,364521,<manual>
0,99,nan,61,7,39480,364521,364521,<manual>
0,99,nan,62,7,39480,364521,364521,<manual>
0,99,nan,63,7,39480,364521,364521,<manual>
