split,policy,pool_idx,sample_id,reward,r_ttc,r_approach,r_risk,criticality,constraint,c_lane,c_trivial,ego_collision,ego_fault_collision,init_invalid,goal_offlane_frac,controlled_parking_frac,ego_min_ttc,ego_adv_min_dist,ego_adv_init_dist,ego_adv_min_dist_warmup,adv_type,adv_x,adv_y,adv_speed,adv_length,adv_width,adv_goal_dist,adv_dist_to_ego,adv_in_fov,adv_small_vehicle
train,base,4,0,0.028715848922729492,0.0,0.028715835884213448,0.028715848922729492,0.028715848922729492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,8.471272468566895,8.797922134399414,8.643461227416992,0,-8.737468719482422,1.2588539123535156,5.155066013336182,5.28302526473999,2.361635208129883,8.085355758666992,8.797921180725098,True,False
train,base,4,1,0.0737757682800293,0.0,0.0737757682800293,0.0737757682800293,0.0737757682800293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,5.8276591300964355,6.024446487426758,5.8276591300964355,0,-0.12356948852539062,-6.031055450439453,0.27156156301498413,2.3355815410614014,0.942125141620636,13.213801383972168,6.0244460105896,True,True
train,base,4,2,0.05128276348114014,0.0,0.05128276348114014,0.05128276348114014,0.05128276348114014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,7.166870594024658,7.377834320068359,7.166870594024658,0,-0.055454254150390625,-7.392147064208984,0.2903572618961334,5.587386608123779,2.366093873977661,11.300433158874512,7.377834320068359,True,False
train,base,4,3,0.08513516187667847,0.0,0.08513516187667847,0.08513516187667847,0.08513516187667847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,7.953741073608398,9.159530639648438,7.953741073608398,0,-0.3845939636230469,-9.16903305053711,0.7635133862495422,4.805678367614746,2.1180756092071533,11.020509719848633,9.159530639648438,True,False
train,base,4,4,0.35708510875701904,0.0,0.35708513855934143,0.35708510875701904,0.35708510875701904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,7.115580081939697,13.0513916015625,7.115580081939697,0,-3.0376434326171875,12.68593978881836,2.4922266006469727,4.558666706085205,2.0917632579803467,30.40127182006836,13.0513916015625,True,False
train,base,4,5,0.09373027086257935,0.0,0.09373027086257935,0.09373027086257935,0.09373027086257935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.8157541751861572,2.8167786598205566,2.8736133575439453,0,0.04494476318359375,0.00087738037109375,0.18593716621398926,5.283205032348633,2.36171817779541,19.096921920776367,2.8167786598205566,True,False
train,base,4,6,0.20174741744995117,0.7333333492279053,0.6315525770187378,0.9017473459243774,1.2017474174499512,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.800000011920929,3.6047940254211426,7.136317253112793,3.6047940254211426,0,-6.357517242431641,3.2918472290039062,1.269575595855713,2.349936008453369,0.946088433265686,9.551042556762695,7.136317253112793,True,True
train,base,4,7,0.13963836431503296,0.0,0.13963836431503296,0.13963836431503296,0.13963836431503296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,7.142630100250244,8.682188987731934,7.142630100250244,0,0.3036994934082031,-8.690723419189453,1.700560450553894,4.859299659729004,2.258023977279663,24.148157119750977,8.682188987731934,True,False
train,base,74,0,0.013344645500183105,0.0,0.013344621285796165,0.013344645500183105,0.013344645500183105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,8.976346015930176,8.976346015930176,9.355422019958496,0,0.30924224853515625,9.04891586303711,2.8074758052825928,5.085050582885742,2.2170088291168213,32.23492431640625,8.976346015930176,True,False
train,base,74,1,-1.0,0.0,0.09431334584951401,0.09431332349777222,0.09431332349777222,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,3.5709331035614014,3.6266748905181885,3.594341516494751,0,-3.4818077087402344,1.2629966735839844,0.3901430070400238,5.274923324584961,2.356628894805908,35.33609390258789,3.6266748905181885,True,False
