split,policy,pool_idx,n_samples,reward_mean,reward_max,reward_p50,reward_p90,reward_p95,positive_rate,high_reward_rate,near_miss_rate,collision_rate,init_invalid_rate,goal_offlane_rate,controlled_parking_rate,small_vehicle_rate,ego_adv_min_dist_mean,ego_adv_min_dist_min,r_approach_mean,r_ttc_mean,constraint_mean,adv_length_mean,adv_width_mean
train,base,4,8,0.128888837993145,0.35708510875701904,0.0894327163696289,0.2483487248420715,0.3027169167995452,1.0,0.125,0.125,0.125,0.0,0.125,0.0,0.25,6.2622877061367035,2.8157541751861572,0.1826144850347191,0.09166666865348816,0.125,4.382847398519516,1.930690459907055
train,base,74,8,-0.3665604367852211,0.04971843957901001,2.384185791015625e-05,0.024256783723831173,0.036987611651420574,0.625,0.0,0.0,0.0,0.375,0.0,0.0,0.0,6.660789519548416,3.5709331035614014,0.03547620209099023,0.0,0.0,4.784895956516266,2.1615654826164246
train,base,99,8,-0.24247639626264572,0.039289116859436035,0.001830965280532837,0.021007990837097163,0.030148553848266587,0.75,0.0,0.0,0.0,0.125,0.125,0.0,0.0,15.240818560123444,7.770945072174072,0.0075299914434197035,0.0,0.125,4.823899984359741,2.1601710617542267
train,base,815,8,-0.24545405805110931,0.029176056385040283,4.982948303222656e-05,0.013190793991088863,0.021183425188064563,0.5,0.0,0.0,0.0,0.0,0.25,0.0,0.0,21.14453136920929,13.005234718322754,0.004545950280038923,0.0,0.25,5.580579936504364,2.3167297542095184
train,base,865,8,0.15429488569498062,0.4752468466758728,0.08406448364257812,0.3528015375137329,0.4140241920948028,1.0,0.25,0.0,0.125,0.0,0.0,0.0,0.0,4.518170118331909,3.5340240001678467,0.08640437899157405,0.03333333134651184,0.0,6.653832018375397,2.401124030351639
train,base,920,8,0.05581957846879959,0.1688820719718933,0.03346532583236694,0.11948128342628478,0.14418167769908902,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.46641144156456,3.316683530807495,0.05581957288086414,0.0,0.0,4.9412612318992615,2.2313206493854523
train,base,1062,8,-0.055068522691726685,0.3817177414894104,0.02712613344192505,0.1545183658599853,0.2681180536746977,0.875,0.125,0.0,0.0,0.125,0.0,0.0,0.0,5.3496226370334625,3.0278871059417725,0.08101854973938316,0.0,0.0,4.916735231876373,2.1858769953250885
train,base,1417,8,-0.3138238415122032,0.031495511531829834,-0.04291677474975586,0.01957985162734985,0.025537681579589834,0.5,0.0,0.25,0.0,0.25,0.0,0.125,0.0,6.897352516651154,2.249784469604492,0.026348292944021523,0.22500000149011612,0.17621103674173355,4.860915780067444,2.152526170015335
train,base,1493,8,0.22761587798595428,0.9847955703735352,0.00023245811462402344,0.8533325731754302,0.9190640717744827,0.875,0.25,0.25,0.0,0.0,0.0,0.0,0.125,13.139779180288315,3.5614750385284424,0.1417972376769552,0.20416667312383652,0.0,4.334773123264313,2.007107101380825
train,base,1749,8,-0.2671630084514618,0.817900538444519,0.0022974908351898193,0.26627351045608505,0.5420870244503018,0.625,0.125,0.125,0.0,0.375,0.0,0.0,0.0,14.567180633544922,8.409700393676758,0.016788319858985545,0.10000000149011612,0.0,5.413207530975342,2.2878917157649994
train,base,2067,8,0.06097456905990839,0.6008176207542419,0.0006757676601409912,0.18218570947647084,0.3915016651153561,0.875,0.125,0.125,0.0,0.0,0.0,0.0,0.625,19.77800488471985,17.770648956298828,0.0011583750019781291,0.07500000298023224,0.01503052469342947,2.7031796723604202,1.3342367187142372
train,base,2160,8,0.004164732992649078,0.015649139881134033,0.00045040249824523926,0.015465515851974487,0.01555732786655426,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.742197155952454,8.133627891540527,0.004164728735759127,0.0,0.0,5.466197848320007,2.3609353601932526
train,base,2384,8,-0.3529343158006668,0.17651212215423584,2.9802322387695312e-08,0.052954262495040864,0.11473319232463827,0.5,0.0,0.0,0.0,0.0,0.375,0.125,0.0,26.335716485977173,9.080318450927734,0.02206670855171841,0.0,0.4375,5.069028973579407,2.2348918318748474
train,base,2532,8,-0.18786921119317412,0.9404434561729431,0.0051202476024627686,0.6493887305259703,0.7949160933494566,0.625,0.25,0.25,0.0,0.25,0.125,0.0,0.0,11.200342923402786,3.5073444843292236,0.1724112199190131,0.09166666865348816,0.13054071879014373,5.567333102226257,2.384958028793335
train,base,2550,8,-0.23408178240060806,0.06306320428848267,0.005080819129943848,0.04816979765892029,0.055616500973701466,0.625,0.0,0.0,0.0,0.25,0.0,0.0,0.0,8.008029222488403,3.7130095958709717,0.0348248874275674,0.0,0.0,4.666503727436066,2.1059314608573914
train,base,2580,8,0.4412984251976013,1.0,0.4238957166671753,0.9523910999298095,0.9761955499649048,0.875,0.5,0.625,0.125,0.0,0.0,0.0,0.0,6.906867235898972,3.8055808544158936,0.4169375700876117,0.2666666656732559,0.08551806211471558,5.067879021167755,2.2238281965255737
train,base,2653,8,-0.6397331971675158,0.04511070251464844,-1.0,0.0171490728855133,0.03112988770008085,0.25,0.0,0.0,0.0,0.625,0.0,0.0,0.0,6.310432367026806,0.7235655188560486,0.052475569398666266,0.0,0.023161204531788826,4.789978206157684,2.1389947533607483
train,base,2964,8,-0.0549531951546669,0.29712510108947754,0.00028190016746520996,0.10190217494964594,0.19951363801956162,0.875,0.0,0.0,0.0,0.0,0.0,0.0,0.125,16.334190785884857,7.719738483428955,0.03978097298522698,0.0,0.09473417699337006,4.30055794864893,1.9882128164172173
train,base,2994,8,0.3104390315711498,0.7119879722595215,0.37167075276374817,0.7093522727489472,0.7106701225042343,0.875,0.5,0.5,0.0,0.0,0.0,0.0,0.125,9.626668632030487,4.189628601074219,0.3577107900005103,0.0,0.04727175459265709,4.4438324347138405,2.0169974341988564
train,base,3065,8,-0.2527563273906708,0.8613953590393066,-0.4985065460205078,0.4580685377120971,0.6597319483757016,0.375,0.125,0.375,0.25,0.0,0.375,0.25,0.0,5.376670598983765,4.429566860198975,0.20008294644444646,0.2916666641831398,0.7043127343058586,4.74691766500473,2.15041583776474
train,base,3267,8,-0.2499999776482582,1.7881393432617188e-07,0.0,5.364418029785153e-08,1.1622905731201162e-07,0.125,0.0,0.0,0.0,0.25,0.0,0.0,0.0,28.07622718811035,25.01918601989746,8.246699114195281e-07,0.0,0.12308663874864578,4.689020037651062,2.132741928100586
train,base,3804,8,0.2564254328608513,0.9689108729362488,0.21098613739013672,0.5224051177501677,0.745657995343208,0.875,0.5,0.25,0.125,0.0,0.0,0.0,0.0,12.360491275787354,4.833521366119385,0.1675697538203381,0.3083333373069763,0.11813442409038544,5.971117675304413,2.25897815823555
train,base,4000,8,-0.5420997217297554,0.6574971675872803,-1.0,0.20059422850608813,0.4290456980466839,0.375,0.125,0.125,0.0,0.625,0.0,0.0,0.375,8.908199727535248,6.878856182098389,0.0798773566057207,0.07500000298023224,0.0,3.3111562952399254,1.6813874319195747
