split,policy,pool_idx,sample_id,reward,r_ttc,r_approach,r_risk,criticality,constraint,c_lane,c_trivial,ego_collision,ego_fault_collision,init_invalid,goal_offlane_frac,controlled_parking_frac,ego_min_ttc,ego_adv_min_dist,ego_adv_init_dist,ego_adv_min_dist_warmup,adv_type,adv_x,adv_y,adv_speed,adv_length,adv_width,adv_goal_dist,adv_dist_to_ego,adv_in_fov,adv_small_vehicle
train,base,16429,0,1.0,0.9666666388511658,0.776581883430481,0.9925526976585388,1.2925527095794678,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.10000000149011612,3.5082857608795166,22.345808029174805,3.5082857608795166,0,-17.668071746826172,13.645072937011719,0.8300973176956177,3.515559196472168,1.7333742380142212,8.949519157409668,22.345808029174805,True,False
val,base,36792,6,1.0,0.9666666388511658,0.7703253030776978,0.9923441410064697,1.292344093322754,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.10000000149011612,3.5796971321105957,19.91237449645996,3.5796971321105957,0,8.341636657714844,18.060253143310547,1.158579707145691,4.527613639831543,2.077984571456909,16.689945220947266,19.912372589111328,True,False
val,base,2384,6,1.0,0.9666666388511658,0.7546781301498413,0.9918226003646851,1.2918226718902588,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.10000000149011612,3.7525596618652344,31.128232955932617,3.7525596618652344,0,14.25775146484375,27.566993713378906,8.81514835357666,0.9936787486076355,0.8693116903305054,3.67391300201416,31.128232955932617,True,True
val,base,2994,7,1.0,0.9666666388511658,0.735383927822113,0.9911794662475586,1.2911794185638428,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.10000000149011612,3.9557745456695557,29.190757751464844,3.9557745456695557,0,-17.62339210510254,23.265155792236328,7.518592834472656,4.621549129486084,2.057812452316284,51.73505783081055,29.190757751464844,True,False
val,base,37234,7,1.0,0.9666666388511658,0.7278510928153992,0.9909283518791199,1.2909283638000488,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.10000000149011612,4.032488822937012,19.056957244873047,4.032488822937012,0,9.991424560546875,16.196937561035156,1.0522998571395874,5.050388336181641,2.2187082767486572,25.309627532958984,19.056957244873047,True,False
val,base,2994,1,1.0,0.9666666388511658,0.7015309929847717,0.9900510311126709,1.290050983428955,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.10000000149011612,4.290802001953125,32.21332550048828,4.290802001953125,0,-21.754634857177734,23.754974365234375,1.4275810718536377,5.247314929962158,2.2639777660369873,20.967893600463867,32.21332550048828,True,False
val,base,32065,1,1.0,0.9666666388511658,0.6976693272590637,0.989922285079956,1.2899222373962402,0.1195594072341919,0.1195594072341919,0.0,1.0,1.0,0.0,0.0,0.0,0.10000000149011612,4.3015456199646,11.84290885925293,4.3015456199646,0,-6.838623046875,9.668834686279297,6.866279125213623,4.772674083709717,2.1538901329040527,10.6226167678833,11.84290885925293,True,False
train,base,19755,0,1.0,0.9666666388511658,0.6958465576171875,0.9898615479469299,1.2898615598678589,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.10000000149011612,4.34480619430542,26.289138793945312,4.34480619430542,0,-17.427845001220703,19.69879913330078,0.831824541091919,5.28197717666626,2.3579840660095215,22.5217227935791,26.289138793945312,True,False
val,base,35009,5,1.0,0.9666666388511658,0.6921879053115845,0.9897395968437195,1.2897396087646484,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.10000000149011612,4.22037410736084,9.946996688842773,4.22037410736084,0,-3.2965927124023438,9.415245056152344,4.186857223510742,0.9627930521965027,0.9004487991333008,22.065210342407227,9.946996688842773,True,True
val,base,18851,4,1.0,0.9666666388511658,0.6885057687759399,0.989616870880127,1.2896168231964111,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.10000000149011612,4.386216163635254,11.841981887817383,4.386216163635254,0,-0.9495830535888672,11.761825561523438,5.46643590927124,0.8730915784835815,0.8477757573127747,19.64179801940918,11.841981887817383,True,True
