spike_rank,iter,kl,sample,group,pool_slot,dataset_id,initial_pool_dataset_id,log_path
0,449,0.0534,55,6,9939,214302,214302,wandb/run-20260630_155831-2gcw0mpa/files/output.log
0,449,0.0534,56,7,37088,351614,351612,wandb/run-20260630_155831-2gcw0mpa/files/output.log
0,449,0.0534,57,7,37088,351614,351612,wandb/run-20260630_155831-2gcw0mpa/files/output.log
0,449,0.0534,58,7,37088,351614,351612,wandb/run-20260630_155831-2gcw0mpa/files/output.log
0,449,0.0534,59,7,37088,351614,351612,wandb/run-20260630_155831-2gcw0mpa/files/output.log
0,449,0.0534,60,7,37088,351614,351612,wandb/run-20260630_155831-2gcw0mpa/files/output.log
0,449,0.0534,61,7,37088,351614,351612,wandb/run-20260630_155831-2gcw0mpa/files/output.log
0,449,0.0534,62,7,37088,351614,351612,wandb/run-20260630_155831-2gcw0mpa/files/output.log
0,449,0.0534,63,7,37088,351614,351612,wandb/run-20260630_155831-2gcw0mpa/files/output.log
1,399,0.0475,0,0,9579,320332,320332,wandb/run-20260630_155831-2gcw0mpa/files/output.log
1,399,0.0475,1,0,9579,320332,320332,wandb/run-20260630_155831-2gcw0mpa/files/output.log
1,399,0.0475,2,0,9579,320332,320332,wandb/run-20260630_155831-2gcw0mpa/files/output.log
1,399,0.0475,3,0,9579,320332,320332,wandb/run-20260630_155831-2gcw0mpa/files/output.log
1,399,0.0475,4,0,9579,320332,320332,wandb/run-20260630_155831-2gcw0mpa/files/output.log
1,399,0.0475,5,0,9579,320332,320332,wandb/run-20260630_155831-2gcw0mpa/files/output.log
1,399,0.0475,6,0,9579,320332,320332,wandb/run-20260630_155831-2gcw0mpa/files/output.log
1,399,0.0475,7,0,9579,320332,320332,wandb/run-20260630_155831-2gcw0mpa/files/output.log
1,399,0.0475,8,1,17521,281572,281569,wandb/run-20260630_155831-2gcw0mpa/files/output.log
1,399,0.0475,9,1,17521,281572,281569,wandb/run-20260630_155831-2gcw0mpa/files/output.log
1,399,0.0475,10,1,17521,281572,281569,wandb/run-20260630_155831-2gcw0mpa/files/output.log
1,399,0.0475,11,1,17521,281572,281569,wandb/run-20260630_155831-2gcw0mpa/files/output.log
1,399,0.0475,12,1,17521,281572,281569,wandb/run-20260630_155831-2gcw0mpa/files/output.log
1,399,0.0475,13,1,17521,281572,281569,wandb/run-20260630_155831-2gcw0mpa/files/output.log
1,399,0.0475,14,1,17521,281572,281569,wandb/run-20260630_155831-2gcw0mpa/files/output.log
1,399,0.0475,15,1,17521,281572,281569,wandb/run-20260630_155831-2gcw0mpa/files/output.log
1,399,0.0475,16,2,29756,381673,381673,wandb/run-20260630_155831-2gcw0mpa/files/output.log
1,399,0.0475,17,2,29756,381673,381673,wandb/run-20260630_155831-2gcw0mpa/files/output.log
1,399,0.0475,18,2,29756,381673,381673,wandb/run-20260630_155831-2gcw0mpa/files/output.log
1,399,0.0475,19,2,29756,381673,381673,wandb/run-20260630_155831-2gcw0mpa/files/output.log
1,399,0.0475,20,2,29756,381673,381673,wandb/run-20260630_155831-2gcw0mpa/files/output.log
1,399,0.0475,21,2,29756,381673,381673,wandb/run-20260630_155831-2gcw0mpa/files/output.log
1,399,0.0475,22,2,29756,381673,381673,wandb/run-20260630_155831-2gcw0mpa/files/output.log
1,399,0.0475,23,2,29756,381673,381673,wandb/run-20260630_155831-2gcw0mpa/files/output.log
1,399,0.0475,24,3,38079,61621,61621,wandb/run-20260630_155831-2gcw0mpa/files/output.log
1,399,0.0475,25,3,38079,61621,61621,wandb/run-20260630_155831-2gcw0mpa/files/output.log
1,399,0.0475,26,3,38079,61621,61621,wandb/run-20260630_155831-2gcw0mpa/files/output.log
1,399,0.0475,27,3,38079,61621,61621,wandb/run-20260630_155831-2gcw0mpa/files/output.log
1,399,0.0475,28,3,38079,61621,61621,wandb/run-20260630_155831-2gcw0mpa/files/output.log
1,399,0.0475,29,3,38079,61621,61621,wandb/run-20260630_155831-2gcw0mpa/files/output.log
1,399,0.0475,30,3,38079,61621,61621,wandb/run-20260630_155831-2gcw0mpa/files/output.log
1,399,0.0475,31,3,38079,61621,61621,wandb/run-20260630_155831-2gcw0mpa/files/output.log
1,399,0.0475,32,4,30782,186823,186822,wandb/run-20260630_155831-2gcw0mpa/files/output.log
1,399,0.0475,33,4,30782,186823,186822,wandb/run-20260630_155831-2gcw0mpa/files/output.log
1,399,0.0475,34,4,30782,186823,186822,wandb/run-20260630_155831-2gcw0mpa/files/output.log
1,399,0.0475,35,4,30782,186823,186822,wandb/run-20260630_155831-2gcw0mpa/files/output.log
1,399,0.0475,36,4,30782,186823,186822,wandb/run-20260630_155831-2gcw0mpa/files/output.log
1,399,0.0475,37,4,30782,186823,186822,wandb/run-20260630_155831-2gcw0mpa/files/output.log
1,399,0.0475,38,4,30782,186823,186822,wandb/run-20260630_155831-2gcw0mpa/files/output.log
1,399,0.0475,39,4,30782,186823,186822,wandb/run-20260630_155831-2gcw0mpa/files/output.log
1,399,0.0475,40,5,24342,345481,345480,wandb/run-20260630_155831-2gcw0mpa/files/output.log
1,399,0.0475,41,5,24342,345481,345480,wandb/run-20260630_155831-2gcw0mpa/files/output.log
1,399,0.0475,42,5,24342,345481,345480,wandb/run-20260630_155831-2gcw0mpa/files/output.log
1,399,0.0475,43,5,24342,345481,345480,wandb/run-20260630_155831-2gcw0mpa/files/output.log
1,399,0.0475,44,5,24342,345481,345480,wandb/run-20260630_155831-2gcw0mpa/files/output.log
1,399,0.0475,45,5,24342,345481,345480,wandb/run-20260630_155831-2gcw0mpa/files/output.log
