rank,iter,kl,log_path,num_unique_dataset_ids,dataset_ids,line
0,449,0.0534,wandb/run-20260630_155831-2gcw0mpa/files/output.log,8,359490 65113 156659 325976 483092 151941 214302 351614,[it 0449] reward=0.062 pos_reward_rate=0.641 near_miss=0.188 risk=0.223 approach=0.116 min_ttc=1.09 adv_dist=10.76 parked=0.016 init_invalid=0.078 loss=0.0107 grp_std=0.265 ratio=1.000 kl=0.0534 skipped_updates=0
1,399,0.0475,wandb/run-20260630_155831-2gcw0mpa/files/output.log,8,320332 281572 381673 61621 186823 345481 374023 74036,[it 0399] reward=0.078 pos_reward_rate=0.703 near_miss=0.172 risk=0.208 approach=0.150 min_ttc=1.02 adv_dist=10.09 parked=0.000 init_invalid=0.234 loss=0.0095 grp_std=0.241 ratio=1.000 kl=0.0475 skipped_updates=0
2,281,0.0434,wandb/run-20260630_155831-2gcw0mpa/files/output.log,8,58999 271562 240988 23817 85539 120592 127584 420431,[it 0281] reward=0.047 pos_reward_rate=0.656 near_miss=0.203 risk=0.193 approach=0.092 min_ttc=1.24 adv_dist=14.61 parked=0.000 init_invalid=0.141 loss=0.0087 grp_std=0.215 ratio=1.000 kl=0.0434 skipped_updates=0
3,450,0.0422,wandb/run-20260630_155831-2gcw0mpa/files/output.log,8,191896 149074 84839 370112 485062 296907 14009 352559,[it 0450] reward=0.108 pos_reward_rate=0.641 near_miss=0.219 risk=0.236 approach=0.153 min_ttc=1.30 adv_dist=12.25 parked=0.000 init_invalid=0.125 loss=0.0085 grp_std=0.250 ratio=1.000 kl=0.0422 skipped_updates=0
4,651,0.0416,wandb/run-20260630_155831-2gcw0mpa/files/output.log,8,50109 346837 371850 483367 482497 135008 198362 478941,[it 0651] reward=0.100 pos_reward_rate=0.672 near_miss=0.234 risk=0.230 approach=0.181 min_ttc=1.95 adv_dist=11.66 parked=0.016 init_invalid=0.172 loss=0.0084 grp_std=0.265 ratio=1.000 kl=0.0416 skipped_updates=0
5,574,0.0416,wandb/run-20260630_155831-2gcw0mpa/files/output.log,8,415070 143421 343885 186864 171374 428829 97187 442516,[it 0574] reward=0.060 pos_reward_rate=0.656 near_miss=0.094 risk=0.123 approach=0.093 min_ttc=0.80 adv_dist=13.41 parked=0.016 init_invalid=0.156 loss=0.0084 grp_std=0.235 ratio=1.000 kl=0.0416 skipped_updates=0
6,93,0.0406,wandb/run-20260630_201313-ypderjnw/files/output.log,8,376489 183872 471918 288767 464097 257069 194573 254694,[it 0093] reward=-0.031 pos_reward_rate=0.453 near_miss=0.094 risk=0.113 approach=0.080 min_ttc=1.46 adv_dist=12.62 parked=0.047 init_invalid=0.328 loss=0.0082 grp_std=0.237 ratio=1.000 kl=0.0406 skipped_updates=0
7,654,0.0403,wandb/run-20260630_155831-2gcw0mpa/files/output.log,8,170320 424502 383240 404177 165486 306238 198218 381980,[it 0654] reward=0.100 pos_reward_rate=0.625 near_miss=0.250 risk=0.246 approach=0.134 min_ttc=1.15 adv_dist=13.53 parked=0.000 init_invalid=0.109 loss=0.0081 grp_std=0.273 ratio=1.000 kl=0.0403 skipped_updates=0
